block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23434000,1758730235,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434001,1758730247,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434002,1758730259,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434003,1758730271,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434004,1758730283,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434005,1758730295,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434006,1758730307,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434007,1758730319,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434008,1758730331,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434009,1758730343,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434010,1758730355,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434011,1758730367,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434012,1758730379,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434013,1758730391,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434014,1758730403,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434015,1758730415,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434016,1758730427,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434017,1758730439,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434018,1758730451,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434019,1758730463,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434020,1758730475,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434021,1758730487,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434022,1758730499,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434023,1758730511,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434024,1758730523,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434025,1758730535,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434026,1758730547,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434027,1758730559,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434028,1758730571,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434029,1758730583,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434030,1758730595,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434031,1758730607,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434032,1758730619,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434033,1758730631,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434034,1758730643,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434035,1758730655,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434036,1758730667,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434037,1758730679,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434038,1758730691,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434039,1758730703,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434040,1758730715,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434041,1758730727,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434042,1758730739,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434043,1758730751,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434044,1758730763,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434045,1758730775,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434046,1758730787,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434047,1758730799,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434048,1758730811,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434049,1758730823,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434050,1758730835,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434051,1758730847,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434052,1758730859,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434053,1758730871,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434054,1758730883,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434055,1758730895,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434056,1758730907,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434057,1758730919,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
23434058,1758730931,1000000000000000000,1000000000000000000,113000000000000006291456,113000000000000006291456,0,2968140857144896655,0,0,1000000000000000000000,880982,1995509154784684199590
