block,timestamp,virtual_price,xcp_profit,price_scale,price_oracle,donation_shares,totalSupply,last_donation_release_ts,donation_protection_expiry_ts,balances_0,balances_1,D
23434000,1758730235,1000006666711111407,1000006666711111407,113000000000000006291456,113020055996214275589852,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434001,1758730247,1000006666711111407,1000006666711111407,113000000000000006291456,113020070144472351592219,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434002,1758730259,1000006666711111407,1000006666711111407,113000000000000006291456,113020084098032722283830,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434003,1758730271,1000006666711111407,1000006666711111407,113000000000000006291456,113020097859574671308613,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434004,1758730283,1000006666711111407,1000006666711111407,113000000000000006291456,113020111431740612020587,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434005,1758730295,1000006666711111407,1000006666711111407,113000000000000006291456,113020124817136594865056,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434006,1758730307,1000006666711111407,1000006666711111407,113000000000000006291456,113020138018332807777707,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434007,1758730319,1000006666711111407,1000006666711111407,113000000000000006291456,113020151037864069697518,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434008,1758730331,1000006666711111407,1000006666711111407,113000000000000006291456,113020163878230317288294,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434009,1758730343,1000006666711111407,1000006666711111407,113000000000000006291456,113020176541897084962495,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434010,1758730355,1000006666711111407,1000006666711111407,113000000000000006291456,113020189031295978298954,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434011,1758730367,1000006666711111407,1000006666711111407,113000000000000006291456,113020201348825140946268,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434012,1758730379,1000006666711111407,1000006666711111407,113000000000000006291456,113020213496849715100555,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434013,1758730391,1000006666711111407,1000006666711111407,113000000000000006291456,113020225477702295646799,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434014,1758730403,1000006666711111407,1000006666711111407,113000000000000006291456,113020237293683378050421,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434015,1758730415,1000006666711111407,1000006666711111407,113000000000000006291456,113020248947061800085453,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434016,1758730427,1000006666711111407,1000006666711111407,113000000000000006291456,113020260440075177483911,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434017,1758730439,1000006666711111407,1000006666711111407,113000000000000006291456,113020271774930333590022,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434018,1758730451,1000006666711111407,1000006666711111407,113000000000000006291456,113020282953803723102086,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434019,1758730463,1000006666711111407,1000006666711111407,113000000000000006291456,113020293978841849982810,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434020,1758730475,1000006666711111407,1000006666711111407,113000000000000006291456,113020304852161679619006,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434021,1758730487,1000006666711111407,1000006666711111407,113000000000000006291456,113020315575851045309203,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434022,1758730499,1000006666711111407,1000006666711111407,113000000000000006291456,113020326151969049157573,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434023,1758730511,1000006666711111407,1000006666711111407,113000000000000006291456,113020336582546457451080,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434024,1758730523,1000006666711111407,1000006666711111407,113000000000000006291456,113020346869586090595755,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434025,1758730535,1000006666711111407,1000006666711111407,113000000000000006291456,113020357015063207686861,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434026,1758730547,1000006666711111407,1000006666711111407,113000000000000006291456,113020367020925885787022,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434027,1758730559,1000006666711111407,1000006666711111407,113000000000000006291456,113020376889095393984859,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434028,1758730571,1000006666711111407,1000006666711111407,113000000000000006291456,113020386621466562306306,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434029,1758730583,1000006666711111407,1000006666711111407,113000000000000006291456,113020396219908145549119,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434030,1758730595,1000006666711111407,1000006666711111407,113000000000000006291456,113020405686263182110500,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434031,1758730607,1000006666711111407,1000006666711111407,113000000000000006291456,113020415022349347876982,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
23434032,1758730619,1000006666711111407,1000006666711111407,113000000000000006291456,113020424229959305244275,0,8916084619027648253,0,0,3000000000000000000000,26499187546186176,5994407931906535852036
